V= -5.00000000000000000000e-01 ,I= 8.58867159061901475070e+00
V= -4.89999999999999991118e-01 ,I= 8.58343538649778992067e+00
V= -4.79999999999999982236e-01 ,I= 8.57700296226091474239e+00
V= -4.69999999999999973355e-01 ,I= 8.56914579347280813693e+00
V= -4.59999999999999964473e-01 ,I= 8.55961166420186536641e+00
V= -4.49999999999999955591e-01 ,I= 8.54813026464877623312e+00
V= -4.39999999999999946709e-01 ,I= 8.53442184741214049382e+00
V= -4.29999999999999937828e-01 ,I= 8.51820871525607081765e+00
V= -4.19999999999999928946e-01 ,I= 8.49922868925895791392e+00
V= -4.09999999999999920064e-01 ,I= 8.47724910400285658341e+00
V= -3.99999999999999911182e-01 ,I= 8.45207951073320451485e+00
V= -3.89999999999999902300e-01 ,I= 8.42358131786112984685e+00
V= -3.79999999999999893419e-01 ,I= 8.39167309969578845141e+00
V= -3.69999999999999884537e-01 ,I= 8.35633111807998218978e+00
V= -3.59999999999999875655e-01 ,I= 8.31758546581005830944e+00
V= -3.49999999999999866773e-01 ,I= 8.27551289759865937867e+00
V= -3.39999999999999857891e-01 ,I= 8.23022772063059093739e+00
V= -3.29999999999999849010e-01 ,I= 8.18187207731777732533e+00
V= -3.19999999999999840128e-01 ,I= 8.13060667741500786576e+00
V= -3.09999999999999831246e-01 ,I= 8.07660266574663587846e+00
V= -2.99999999999999822364e-01 ,I= 8.02003495853768022528e+00
V= -2.89999999999999813483e-01 ,I= 7.96107710817968872163e+00
V= -2.79999999999999804601e-01 ,I= 7.89989757994897878746e+00
V= -2.69999999999999795719e-01 ,I= 7.83665723305182115865e+00
V= -2.59999999999999786837e-01 ,I= 7.77150776919909169749e+00
V= -2.49999999999999777955e-01 ,I= 7.70459092115861121641e+00
V= -2.39999999999999769074e-01 ,I= 7.63603818270174983240e+00
V= -2.29999999999999760192e-01 ,I= 7.56597091738508265024e+00
V= -2.19999999999999751310e-01 ,I= 7.49450071922138683078e+00
V= -2.09999999999999742428e-01 ,I= 7.42172992977252743430e+00
V= -1.99999999999999733546e-01 ,I= 7.34775224218685707456e+00
V= -1.89999999999999724665e-01 ,I= 7.27265334318215206366e+00
V= -1.79999999999999715783e-01 ,I= 7.19651155955800092556e+00
V= -1.69999999999999706901e-01 ,I= 7.11939848735286950898e+00
V= -1.59999999999999698019e-01 ,I= 7.04137959009049918535e+00
V= -1.49999999999999689138e-01 ,I= 6.96251475844163536522e+00
V= -1.39999999999999680256e-01 ,I= 6.88285882768296275458e+00
V= -1.29999999999999671374e-01 ,I= 6.80246205205746878875e+00
V= -1.19999999999999676370e-01 ,I= 6.72137053690546082407e+00
V= -1.09999999999999681366e-01 ,I= 6.63962663052511015138e+00
V= -9.99999999999996863620e-02 ,I= 6.55726927834199457834e+00
V= -8.99999999999996913580e-02 ,I= 6.47433434226884330087e+00
V= -7.99999999999996963540e-02 ,I= 6.39085488822620995109e+00
V= -6.99999999999997013500e-02 ,I= 6.30686144474768894952e+00
V= -5.99999999999996994071e-02 ,I= 6.22238223546213475856e+00
V= -4.99999999999996974642e-02 ,I= 6.13744338806613320969e+00
V= -3.99999999999996955213e-02 ,I= 6.05206912219722958923e+00
V= -2.99999999999996935784e-02 ,I= 5.96628191840830268688e+00
V= -1.99999999999996916356e-02 ,I= 5.88010267023600707859e+00
V= -9.99999999999969142739e-03 ,I= 5.79355082115828068368e+00
V= 3.08780778723871662805e-16 ,I= 5.70664448805049229207e+00
V= 1.00000000000003089889e-02 ,I= 5.61940057257930369872e+00
V= 2.00000000000003091971e-02 ,I= 5.53183486181776906676e+00
V= 3.00000000000003111400e-02 ,I= 5.44396211922477846201e+00
V= 4.00000000000003130829e-02 ,I= 5.35579616700576277566e+00
V= 5.00000000000003150258e-02 ,I= 5.26734996075876260591e+00
V= 6.00000000000003169687e-02 ,I= 5.17863565720952756521e+00
V= 7.00000000000003119727e-02 ,I= 5.08966467574988534750e+00
V= 8.00000000000003069767e-02 ,I= 5.00044775441441657904e+00
V= 9.00000000000003019807e-02 ,I= 4.91099500086024054468e+00
V= 1.00000000000000296985e-01 ,I= 4.82131593885250087084e+00
V= 1.10000000000000291989e-01 ,I= 4.73141955070315312071e+00
V= 1.20000000000000286993e-01 ,I= 4.64131431606192812467e+00
V= 1.30000000000000281997e-01 ,I= 4.55100824741524423445e+00
V= 1.40000000000000290878e-01 ,I= 4.46050892261075748735e+00
V= 1.50000000000000299760e-01 ,I= 4.36982351469140883893e+00
V= 1.60000000000000308642e-01 ,I= 4.27895881929289423340e+00
V= 1.70000000000000317524e-01 ,I= 4.18792127983200490604e+00
V= 1.80000000000000326406e-01 ,I= 4.09671701068968285853e+00
V= 1.90000000000000335287e-01 ,I= 4.00535181857178113063e+00
V= 2.00000000000000344169e-01 ,I= 3.91383122221189960754e+00
V= 2.10000000000000353051e-01 ,I= 3.82216047056413366079e+00
V= 2.20000000000000361933e-01 ,I= 3.73034455961888689046e+00
V= 2.30000000000000370814e-01 ,I= 3.63838824796177195964e+00
V= 2.40000000000000379696e-01 ,I= 3.54629607118386847020e+00
V= 2.50000000000000388578e-01 ,I= 3.45407235524119204939e+00
V= 2.60000000000000397460e-01 ,I= 3.36172122885189050834e+00
V= 2.70000000000000406342e-01 ,I= 3.26924663501127632514e+00
V= 2.80000000000000415223e-01 ,I= 3.17665234169730315017e+00
V= 2.90000000000000424105e-01 ,I= 3.08394195183242292302e+00
V= 3.00000000000000432987e-01 ,I= 2.99111891256161577246e+00
V= 3.10000000000000441869e-01 ,I= 2.89818652390111708428e+00
V= 3.20000000000000450751e-01 ,I= 2.80514794680725554343e+00
V= 3.30000000000000459632e-01 ,I= 2.71200621071066372281e+00
V= 3.40000000000000468514e-01 ,I= 2.61876422055691904234e+00
V= 3.50000000000000477396e-01 ,I= 2.52542476339128896257e+00
V= 3.60000000000000486278e-01 ,I= 2.43199051452186054689e+00
V= 3.70000000000000495159e-01 ,I= 2.33846404329252788301e+00
V= 3.80000000000000504041e-01 ,I= 2.24484781849453085556e+00
V= 3.90000000000000512923e-01 ,I= 2.15114421344300588146e+00
V= 4.00000000000000521805e-01 ,I= 2.05735551074263156579e+00
V= 4.10000000000000530687e-01 ,I= 1.96348390676464390481e+00
V= 4.20000000000000539568e-01 ,I= 1.86953151585557986181e+00
V= 4.30000000000000548450e-01 ,I= 1.77550037429654761212e+00
V= 4.40000000000000557332e-01 ,I= 1.68139244403025767127e+00
V= 4.50000000000000566214e-01 ,I= 1.58720961617177813707e+00
V= 4.60000000000000575096e-01 ,I= 1.49295371431763079784e+00
V= 4.70000000000000583977e-01 ,I= 1.39862649766682167751e+00
V= 4.80000000000000592859e-01 ,I= 1.30422966396629469443e+00
V= 4.90000000000000601741e-01 ,I= 1.20976485229233521324e+00
V= 5.00000000000000555112e-01 ,I= 1.11523364567867400154e+00
V= 5.10000000000000563993e-01 ,I= 1.02063757360115481276e+00
V= 5.20000000000000572875e-01 ,I= 9.25978114328148471657e-01
V= 5.30000000000000581757e-01 ,I= 8.31256697145164480389e-01
V= 5.40000000000000590639e-01 ,I= 7.36474704461696383362e-01
V= 5.50000000000000599520e-01 ,I= 6.41633473807378784670e-01
V= 5.60000000000000608402e-01 ,I= 5.46734299724551675581e-01
V= 5.70000000000000617284e-01 ,I= 4.51778435563278790710e-01
V= 5.80000000000000626166e-01 ,I= 3.56767095184938654029e-01
V= 5.90000000000000635048e-01 ,I= 2.61701454579686298985e-01
V= 6.00000000000000643929e-01 ,I= 1.66582653403031244466e-01
V= 6.10000000000000652811e-01 ,I= 7.14117964361626889058e-02
V= 6.20000000000000661693e-01 ,I= -2.38100450253888595853e-02
V= 6.30000000000000670575e-01 ,I= -1.19081831850794017669e-01
V= 6.40000000000000679456e-01 ,I= -2.14402555816629813989e-01
V= 6.50000000000000688338e-01 ,I= -3.09771238409725313545e-01
V= 6.60000000000000697220e-01 ,I= -4.05186929686772501213e-01
V= 6.70000000000000706102e-01 ,I= -5.00648707187480113134e-01
V= 6.80000000000000714984e-01 ,I= -5.96155674898355414371e-01
V= 6.90000000000000723865e-01 ,I= -6.91706962264337477109e-01
V= 7.00000000000000732747e-01 ,I= -7.87301723245628082282e-01
V= 7.10000000000000741629e-01 ,I= -8.82939135417398546224e-01
V= 7.20000000000000750511e-01 ,I= -9.78618399109928205348e-01
V= 7.30000000000000759393e-01 ,I= -1.07433873658716727562e+00
V= 7.40000000000000768274e-01 ,I= -1.17009939126163331480e+00
V= 7.50000000000000777156e-01 ,I= -1.26589962694375302021e+00
V= 7.60000000000000786038e-01 ,I= -1.36173872712387478146e+00
V= 7.70000000000000794920e-01 ,I= -1.45761599428531418710e+00
V= 7.80000000000000803801e-01 ,I= -1.55353074924674849910e+00
V= 7.90000000000000812683e-01 ,I= -1.64948233053263138004e+00
