V= -2.43353515947980127976e+01 ,I= 4.13254471097190389628e+02
V= -2.33353515947980127976e+01 ,I= 2.94568983732734068326e+02
V= -2.23353515947980127976e+01 ,I= 2.46454064015776339147e+02
V= -2.13353515947980127976e+01 ,I= 2.28451732805068047583e+02
V= -2.03353515947980127976e+01 ,I= 2.21790825189970746578e+02
V= -1.93353515947980127976e+01 ,I= 2.19172562960787900010e+02
V= -1.83353515947980127976e+01 ,I= 2.18094325852204377725e+02
V= -1.73353515947980127976e+01 ,I= 2.17638969809690649981e+02
V= -1.63353515947980127976e+01 ,I= 2.17443406797691977772e+02
V= -1.53353515947980127976e+01 ,I= 2.17358539352807952127e+02
V= -1.43353515947980127976e+01 ,I= 2.17321815878872740768e+02
V= -1.33353515947980127976e+01 ,I= 2.17305852501410413424e+02
V= -1.23353515947980127976e+01 ,I= 2.17298901554943284964e+02
V= -1.13353515947980127976e+01 ,I= 2.17295877419460964575e+02
V= -1.03353515947980127976e+01 ,I= 2.17294558260628576818e+02
V= -9.33535159479801279758e+00 ,I= 2.17293985464848788070e+02
V= -8.33535159479801279758e+00 ,I= 2.17293735605823712831e+02
V= -7.33535159479801279758e+00 ,I= 2.17293626748212403754e+02
V= -6.33535159479801279758e+00 ,I= 2.17293579168812300395e+02
V= -5.33535159479801279758e+00 ,I= 2.17293558220842612627e+02
V= -4.33535159479801279758e+00 ,I= 2.17293548887111001022e+02
V= -3.33535159479801279758e+00 ,I= 2.17293544586514485673e+02
V= -2.33535159479801279758e+00 ,I= 2.17293542465690961762e+02
V= -1.33535159479801279758e+00 ,I= 2.17293541273565267602e+02
V= -3.35351594798012797582e-01 ,I= 2.17293540472327606494e+02
V= 6.64648405201987202418e-01 ,I= 2.17293539821249112265e+02
V= 1.66464840520198720242e+00 ,I= 2.17293539216923534241e+02
V= 2.66464840520198720242e+00 ,I= 2.17293538611205235611e+02
V= 3.66464840520198720242e+00 ,I= 2.17293537983126725521e+02
