V= -2.58196003103202862405e+01 ,P= 3.73475339663458289579e+04
V= -2.48196003103202862405e+01 ,P= 2.57423826846531846968e+04
V= -2.38196003103202862405e+01 ,P= 2.04621343919296341483e+04
V= -2.28196003103202862405e+01 ,P= 1.78416673068996169604e+04
V= -2.18196003103202862405e+01 ,P= 1.63321870365303857398e+04
V= -2.08196003103202862405e+01 ,P= 1.52842473675906203425e+04
V= -1.98196003103202862405e+01 ,P= 1.44272809976584576361e+04
V= -1.88196003103202862405e+01 ,P= 1.36491057773027969233e+04
V= -1.78196003103202862405e+01 ,P= 1.29033545486110851925e+04
V= -1.68196003103202862405e+01 ,P= 1.21709145995951439545e+04
V= -1.58196003103202862405e+01 ,P= 1.14439253000890985277e+04
V= -1.48196003103202862405e+01 ,P= 1.07191621477941025660e+04
V= -1.38196003103202862405e+01 ,P= 9.99530539029554711306e+03
V= -1.28196003103202862405e+01 ,P= 9.27181650552477731253e+03
V= -1.18196003103202862405e+01 ,P= 8.54847634971991465136e+03
V= -1.08196003103202862405e+01 ,P= 7.82519610252546408447e+03
V= -9.81960031032028624054e+00 ,P= 7.10193988170263583015e+03
V= -8.81960031032028624054e+00 ,P= 6.37869325922873940726e+03
V= -7.81960031032028624054e+00 ,P= 5.65545046446945252683e+03
V= -6.81960031032028624054e+00 ,P= 4.93220920183709768025e+03
V= -5.81960031032028624054e+00 ,P= 4.20896856529669094016e+03
V= -4.81960031032028624054e+00 ,P= 3.48572820030158936788e+03
V= -3.81960031032028624054e+00 ,P= 2.76248796978800146462e+03
V= -2.81960031032028624054e+00 ,P= 2.03924782179663498027e+03
V= -1.81960031032028624054e+00 ,P= 1.31600773726643910777e+03
V= -8.19600310320286240540e-01 ,P= 5.92767709744628632507e+02
V= 1.80399689679713759460e-01 ,P= -1.30472262472136009137e+02
V= 1.18039968967971375946e+00 ,P= -8.53712179304774167576e+02
V= 2.18039968967971375946e+00 ,P= -1.57695204002436912560e+03
V= 3.18039968967971375946e+00 ,P= -2.30019184365053934016e+03
V= 4.18039968967971375946e+00 ,P= -3.02343158909140674950e+03
V= 5.18039968967971375946e+00 ,P= -3.74667127519384530387e+03
V= 6.18039968967971375946e+00 ,P= -4.46991090077983790252e+03
V= 7.18039968967971375946e+00 ,P= -5.19315046459148925351e+03
V= 8.18039968967971375946e+00 ,P= -5.91638996535080059402e+03
V= 9.18039968967971375946e+00 ,P= -6.63962940171352056495e+03
V= 1.01803996896797137595e+01 ,P= -7.36286877233635368611e+03
V= 1.11803996896797137595e+01 ,P= -8.08610807575616490794e+03
V= 1.21803996896797137595e+01 ,P= -8.80934731051078415476e+03
V= 1.31803996896797137595e+01 ,P= -9.53258647502657368022e+03
V= 1.41803996896797137595e+01 ,P= -1.02558255677413781086e+04
V= 1.51803996896797137595e+01 ,P= -1.09790645870109965472e+04
V= 1.61803996896797137595e+01 ,P= -1.17023035311386083777e+04
V= 1.71803996896797137595e+01 ,P= -1.24255423982843531121e+04
V= 1.81803996896797137595e+01 ,P= -1.31487811866782212746e+04
V= 1.91803996896797137595e+01 ,P= -1.38720198944071617007e+04
V= 2.01803996896797137595e+01 ,P= -1.45952585194418716128e+04
V= 2.11803996896797137595e+01 ,P= -1.53184970597908504715e+04
V= 2.21803996896797137595e+01 ,P= -1.60417355133516048227e+04
V= 2.31803996896797137595e+01 ,P= -1.67649738778975115565e+04
V= 2.41803996896797137595e+01 ,P= -1.74882121511282566644e+04
V= 2.51803996896797137595e+01 ,P= -1.82114503307361410407e+04
V= 2.61803996896797137595e+01 ,P= -1.89346884142813905783e+04
V= 2.71803996896797137595e+01 ,P= -1.96579263992506021168e+04
V= 2.81803996896797137595e+01 ,P= -2.03811642829825323133e+04
V= 2.91803996896797137595e+01 ,P= -2.11044020628085054341e+04
V= 3.01803996896797137595e+01 ,P= -2.18276397358274007274e+04
V= 3.11803996896797137595e+01 ,P= -2.25508772992894482741e+04
V= 3.21803996896797173122e+01 ,P= -2.32741147501277446281e+04
V= 3.31803996896797173122e+01 ,P= -2.39973520850933564361e+04
V= 3.41803996896797173122e+01 ,P= -2.47205893011918451521e+04
V= 3.51803996896797173122e+01 ,P= -2.54438263949027896160e+04
V= 3.61803996896797173122e+01 ,P= -2.61670633628755931568e+04
V= 3.71803996896797173122e+01 ,P= -2.68903002015776401095e+04
V= 3.81803996896797173122e+01 ,P= -2.76135369070802225906e+04
V= 3.91803996896797173122e+01 ,P= -2.83367734757406833523e+04
V= 4.01803996896797173122e+01 ,P= -2.90600099036207247991e+04
V= 4.11803996896797173122e+01 ,P= -2.97832461864601282286e+04
V= 4.21803996896797173122e+01 ,P= -3.05064823202053012210e+04
V= 4.31803996896797173122e+01 ,P= -3.12297183002534802654e+04
V= 4.41803996896797173122e+01 ,P= -3.19529541220975806937e+04
V= 4.51803996896797173122e+01 ,P= -3.26761897811147500761e+04
V= 4.61803996896797173122e+01 ,P= -3.33994252724448451772e+04
V= 4.71803996896797173122e+01 ,P= -3.41226605909773279564e+04
V= 4.81803996896797173122e+01 ,P= -3.48458957314647923340e+04
V= 4.91803996896797173122e+01 ,P= -3.55691306885230369517e+04
V= 5.01803996896797173122e+01 ,P= -3.62923654566310142400e+04
V= 5.11803996896797173122e+01 ,P= -3.70156000299962615827e+04
V= 5.21803996896797173122e+01 ,P= -3.77388344025416226941e+04
V= 5.31803996896797173122e+01 ,P= -3.84620685683119445457e+04
V= 5.41803996896797173122e+01 ,P= -3.91853025206450038240e+04
V= 5.51803996896797173122e+01 ,P= -3.99085362531352584483e+04
V= 5.61803996896797173122e+01 ,P= -4.06317697587863513036e+04
V= 5.71803996896797173122e+01 ,P= -4.13550030305734544527e+04
V= 5.81803996896797173122e+01 ,P= -4.20782360611503027030e+04
V= 5.91803996896797173122e+01 ,P= -4.28014688429916350287e+04
V= 6.01803996896797173122e+01 ,P= -4.35247013683933473658e+04
V= 6.11803996896797173122e+01 ,P= -4.42479336289894854417e+04
V= 6.21803996896797173122e+01 ,P= -4.49711656165307576885e+04
V= 6.31803996896797173122e+01 ,P= -4.56943973222460699617e+04
V= 6.41803996896797173122e+01 ,P= -4.64176287374914609245e+04
V= 6.51803996896797173122e+01 ,P= -4.71408598527475769515e+04
V= 6.61803996896797173122e+01 ,P= -4.78640906584376571118e+04
V= 6.71803996896797173122e+01 ,P= -4.85873211447639405378e+04
V= 6.81803996896797173122e+01 ,P= -4.93105513015282194829e+04
V= 6.91803996896797173122e+01 ,P= -5.00337811179367490695e+04
V= 7.01803996896797173122e+01 ,P= -5.07570105833124471246e+04
V= 7.11803996896797173122e+01 ,P= -5.14802396861848901608e+04
V= 7.21803996896797173122e+01 ,P= -5.22034684148205342353e+04
V= 7.31803996896797173122e+01 ,P= -5.29266967572226712946e+04
V= 7.41803996896797173122e+01 ,P= -5.36499247009363753023e+04
V= 7.51803996896797173122e+01 ,P= -5.43731522330352236168e+04
V= 7.61803996896797173122e+01 ,P= -5.50963793399077549111e+04
V= 7.71803996896797173122e+01 ,P= -5.58196060082465046435e+04
V= 7.81803996896797173122e+01 ,P= -5.65428322234419101733e+04
V= 7.91803996896797173122e+01 ,P= -5.72660579707664437592e+04
V= 8.01803996896797173122e+01 ,P= -5.79892832349658201565e+04
V= 8.11803996896797173122e+01 ,P= -5.87125080004595802166e+04
V= 8.21803996896797173122e+01 ,P= -5.94357322509085279307e+04
V= 8.31803996896797173122e+01 ,P= -6.01589559696261858335e+04
V= 8.41803996896797173122e+01 ,P= -6.08821791389141799300e+04
V= 8.51803996896797173122e+01 ,P= -6.16054017409195148502e+04
V= 8.61803996896797173122e+01 ,P= -6.23286237571940218913e+04
V= 8.71803996896797173122e+01 ,P= -6.30518451684518659022e+04
V= 8.81803996896797173122e+01 ,P= -6.37750659550073032733e+04
V= 8.91803996896797173122e+01 ,P= -6.44982860963053681189e+04
V= 9.01803996896797173122e+01 ,P= -6.52215055713701003697e+04
V= 9.11803996896797173122e+01 ,P= -6.59447243578449269990e+04
V= 9.21803996896797173122e+01 ,P= -6.66679424336379015585e+04
V= 9.31803996896797173122e+01 ,P= -6.73911597752447560197e+04
V= 9.41803996896797173122e+01 ,P= -6.81143763586876593763e+04
V= 9.51803996896797173122e+01 ,P= -6.88375921587639022619e+04
V= 9.61803996896797173122e+01 ,P= -6.95608071500186779303e+04
V= 9.71803996896797173122e+01 ,P= -7.02840213054797495715e+04
V= 9.81803996896797173122e+01 ,P= -7.10072345981547259726e+04
V= 9.91803996896797173122e+01 ,P= -7.17304469994917162694e+04
V= 1.00180399689679717312e+02 ,P= -7.24536584801174612949e+04
V= 1.01180399689679717312e+02 ,P= -7.31768690100903186249e+04
V= 1.02180399689679717312e+02 ,P= -7.39000785575562040322e+04
V= 1.03180399689679717312e+02 ,P= -7.46232870905829040566e+04
V= 1.04180399689679717312e+02 ,P= -7.53464945758160320111e+04
V= 1.05180399689679717312e+02 ,P= -7.60697009787162533030e+04
V= 1.06180399689679717312e+02 ,P= -7.67929062638122559292e+04
V= 1.07180399689679717312e+02 ,P= -7.75161103941238252446e+04
V= 1.08180399689679717312e+02 ,P= -7.82393133319759508595e+04
V= 1.09180399689679717312e+02 ,P= -7.89625150378500402439e+04
V= 1.10180399689679717312e+02 ,P= -7.96857154714907810558e+04
V= 1.11180399689679717312e+02 ,P= -8.04089145907359779812e+04
V= 1.12180399689679717312e+02 ,P= -8.11321123529398464598e+04
V= 1.13180399689679717312e+02 ,P= -8.18553087131992215291e+04
V= 1.14180399689679717312e+02 ,P= -8.25785036251893325243e+04
V= 1.15180399689679717312e+02 ,P= -8.33016970420463767368e+04
V= 1.16180399689679717312e+02 ,P= -8.40248889139354141662e+04
V= 1.17180399689679717312e+02 ,P= -8.47480791904246580089e+04
V= 1.18180399689679717312e+02 ,P= -8.54712678192548919469e+04
V= 1.19180399689679717312e+02 ,P= -8.61944547462999762502e+04
V= 1.20180399689679717312e+02 ,P= -8.69176399155275285011e+04
V= 1.21180399689679717312e+02 ,P= -8.76408232692779274657e+04
V= 1.22180399689679717312e+02 ,P= -8.83640047482386580668e+04
V= 1.23180399689679717312e+02 ,P= -8.90871842910930572543e+04
V= 1.24180399689679717312e+02 ,P= -8.98103618338280357420e+04
V= 1.25180399689679717312e+02 ,P= -9.05335373116442788159e+04
V= 1.26180399689679717312e+02 ,P= -9.12567106559813546482e+04
V= 1.27180399689679717312e+02 ,P= -9.19798817977588332724e+04
V= 1.28180399689679717312e+02 ,P= -9.27030506647044821875e+04
V= 1.29180399689679717312e+02 ,P= -9.34262171822951204376e+04
V= 1.30180399689679717312e+02 ,P= -9.41493812733743834542e+04
V= 1.31180399689679717312e+02 ,P= -9.48725428591358941048e+04
V= 1.32180399689679717312e+02 ,P= -9.55957018573708191980e+04
V= 1.33180399689679717312e+02 ,P= -9.63188581837909587193e+04
V= 1.34180399689679717312e+02 ,P= -9.70420117505899106618e+04
V= 1.35180399689679717312e+02 ,P= -9.77651624681427929318e+04
V= 1.36180399689679717312e+02 ,P= -9.84883102435597393196e+04
V= 1.37180399689679717312e+02 ,P= -9.92114549802591645857e+04
V= 1.38180399689679717312e+02 ,P= -9.99345965797066601226e+04
V= 1.39180399689679717312e+02 ,P= -1.00657734939204790862e+05
V= 1.40180399689679717312e+02 ,P= -1.01380869953276094748e+05
V= 1.41180399689679717312e+02 ,P= -1.02104001513252384029e+05
V= 1.42180399689679717312e+02 ,P= -1.02827129506473778747e+05
V= 1.43180399689679717312e+02 ,P= -1.03550253816586598987e+05
V= 1.44180399689679717312e+02 ,P= -1.04273374324236123357e+05
V= 1.45180399689679717312e+02 ,P= -1.04996490905499347718e+05
V= 1.46180399689679717312e+02 ,P= -1.05719603432562318631e+05
